,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
562,MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,16.0,22.0,18.0,3.0
563,MERCEDES-BENZ AMG GT S,4.0,8,AutoMan-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,16.0,22.0,18.0,3.0
564,MERCEDES-BENZ AMG S63 4Matic,4.0,8,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ04.0U2A,large car,5.0,17.0,26.0,20.0,4.0
565,MERCEDES-BENZ AMG SL63,5.5,8,Auto-7,2WD,Gasoline,U2,JMBXV05.5U2A,small car,3.0,16.0,25.0,19.0,3.0
566,MERCEDES-BENZ AMG SL65,6.0,12,Auto-7,2WD,Gasoline,L3ULEV125,JMBXJ06.0U2A,small car,3.0,13.0,22.0,16.0,2.0
567,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,22.0,29.0,25.0,5.0
568,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,22.0,30.0,25.0,5.0
569,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,24.0,33.0,27.0,6.0
570,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,22.0,29.0,25.0,5.0
571,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,22.0,30.0,25.0,5.0
572,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small car,5.0,23.0,32.0,26.0,5.0
573,MERCEDES-BENZ CLA250,2.0,4,AutoMan-7,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2B,small car,5.0,24.0,37.0,29.0,6.0
574,MERCEDES-BENZ CLA250 4Matic,2.0,4,AutoMan-7,4WD,Ethanol,L3ULEV70,JMBXJ02.0U2A,small car,5.0,17.0,24.0,20.0,6.0
575,MERCEDES-BENZ CLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2B,small car,5.0,24.0,32.0,27.0,6.0
576,MERCEDES-BENZ CLS550,4.7,8,Auto-9,2WD,Gasoline,U2,JMBXV05.5U2A,small car,3.0,18.0,26.0,21.0,4.0
577,MERCEDES-BENZ CLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,U2,JMBXV05.5U2A,small car,3.0,17.0,25.0,20.0,4.0
